#submitted_id	updated_id	status
FBgn0002441	FBgn0002441	current
FBgn0002775	FBgn0002775	current
FBgn0002909	FBgn0002909	current
FBgn0003189	FBgn0003189	current
FBgn0001204	FBgn0261434	updated
FBgn0000099	FBgn0267978	updated
FBgn0001311	FBgn0001311	current
FBgn0001330	FBgn0001330	current
FBgn0002732	FBgn0002732	current
FBgn0002940	FBgn0002940	current
FBgn0001250	FBgn0001250	current
FBgn0001083	FBgn0001083	current
FBgn0001142	FBgn0001142	current
FBgn0003169	FBgn0003169	current
FBgn0002522	FBgn0002522	current
FBgn0002638	FBgn0002638	current
FBgn0000356	FBgn0000356	current
FBgn0002566	FBgn0002566	current
FBgn0000617	FBgn0000617	current
FBgn0003075	FBgn0250906	current
FBgn0000560	FBgn0000560	current
FBgn0000533	FBgn0000533	current
FBgn0000568	FBgn0000568	current
FBgn0001133	FBgn0001133	current
FBgn0000439	FBgn0000439	current
FBgn0000464	FBgn0000464	current
FBgn0003162	FBgn0003162	current
FBgn0003165	FBgn0003165	current
FBgn0000489	FBgn0000489	current
FBgn0002641	FBgn0002641	current
FBgn0000422	FBgn0000422	current
FBgn0002930	FBgn0002930	current
FBgn0002734	FBgn0002734	current
FBgn0000442	FBgn0000442	current
FBgn0000053	FBgn0000053	current
FBgn0000182	FBgn0000182	current
FBgn0001112	FBgn0001112	current
FBgn0000578	FBgn0000578	current
FBgn0000499	FBgn0000499	current
FBgn0000346	FBgn0000346	current
FBgn0003031	FBgn0265297	updated
FBgn0002887	FBgn0002887	current
FBgn0002868	FBgn0002868	current
FBgn0002931	FBgn0002931	current
FBgn0000723	FBgn0000723	current
FBgn0000629	FBgn0000629	current
FBgn0002914	FBgn0002914	current
FBgn0002652	FBgn0267347	current
FBgn0002590	FBgn0002590	current
FBgn0001986	FBgn0001986	current
FBgn0000667	FBgn0000667	current
FBgn0000547	FBgn0000547	current
FBgn0000142	FBgn0261823	current
FBgn0003002	FBgn0003002	current
FBgn0002565	FBgn0002565	current
FBgn0003200	FBgn0262699	current
FBgn0002528	FBgn0267348	current
FBgn0000092	FBgn0000092	current
FBgn0000287	FBgn0000287	current
FBgn0003150	FBgn0261394	current
FBgn0002936	FBgn0002936	current
FBgn0000351	FBgn0000351	current
FBgn0003034	FBgn0003034	current
FBgn0000376	FBgn0000376	current
FBgn0003137	FBgn0003137	current
FBgn0001970	FBgn0001970	current
FBgn0000100	FBgn0000100	current
FBgn0002022	FBgn0002022	current
FBgn0003139	FBgn0003139	current
FBgn0001187	FBgn0001187	current
FBgn0001280	FBgn0001280	current
FBgn0002735	FBgn0002735	current
FBgn0000094	FBgn0000094	current
FBgn0001170	FBgn0001170	current
FBgn0001967	FBgn0001967	current
FBgn0000529	FBgn0000529	current
FBgn0001983	FBgn0001983	current
FBgn0002283	FBgn0002283	current
FBgn0002733	FBgn0002733	current
FBgn0002577	FBgn0002577	current
FBgn0002941	FBgn0002941	current
FBgn0001134	FBgn0001134	current
FBgn0003062	FBgn0003062	current
FBgn0002855	FBgn0002855	current
FBgn0000241	FBgn0000241	current
FBgn0000395	FBgn0000395	current
FBgn0000575	FBgn0000575	current
FBgn0000463	FBgn0000463	current
FBgn0003086	FBgn0003086	current
FBgn0002985	FBgn0002985	current
FBgn0001202	FBgn0001202	current
FBgn0000808	FBgn0000808	current
FBgn0000630	FBgn0262111	current
FBgn0001092	FBgn0001092	current
FBgn0003076	FBgn0003076	current
FBgn0002121	FBgn0002121	current
FBgn0001233	FBgn0001233	current
FBgn0000719	FBgn0000719	current
FBgn0000412	FBgn0000412	current
FBgn0000054	FBgn0284249	current
FBgn0000492	FBgn0000492	current
FBgn0003129	FBgn0003129	current
FBgn0001491	FBgn0001491	current
FBgn0001185	FBgn0001185	current
FBgn0000927	FBgn0000927	current
FBgn0000479	FBgn0000479	current
FBgn0000158	FBgn0000158	current
FBgn0002031	FBgn0002031	current
FBgn0002838	FBgn0002838	current
FBgn0000313	FBgn0267435	current
FBgn0000228	FBgn0000228	current
FBgn0002939	FBgn0002939	current
FBgn0001148	FBgn0001148	current
FBgn0002284	FBgn0002284	current
FBgn0000359	FBgn0000359	current
FBgn0000451	FBgn0000451	current
FBgn0000996	FBgn0000996	current
FBgn0000579	FBgn0000579	current
FBgn0001224	FBgn0001224	current
FBgn0002869	FBgn0002869	current
FBgn0000183	FBgn0000183	current
FBgn0000546	FBgn0000546	current
FBgn0003138	FBgn0267487	current
FBgn0001321	FBgn0001321	current
FBgn0001624	FBgn0001624	current
FBgn0001084	FBgn0001084	current
FBgn0000079	FBgn0000079	current
FBgn0000251	FBgn0000251	current
FBgn0000524	FBgn0000524	current
FBgn0000454	FBgn0000454	current
FBgn0002865	FBgn0002865	current
FBgn0002023	FBgn0002023	current
FBgn0001086	FBgn0001086	current
FBgn0002901	FBgn0002901	current
FBgn0002478	FBgn0086359	current
FBgn0000227	FBgn0000227	current
FBgn0001281	FBgn0001281	current
FBgn0000368	FBgn0259685	current
FBgn0002174	FBgn0002174	current
FBgn0002183	FBgn0002183	current
FBgn0000117	FBgn0000117	current
FBgn0002567	FBgn0002567	current
FBgn0000046	FBgn0000046	current
FBgn0000063	FBgn0000063	current
FBgn0000611	FBgn0000611	current
FBgn0002044	FBgn0002044	current
FBgn0000542	FBgn0000542	current
